subject,sona_id,curTime,totalTime_mins,screen_width,screen_height,window_width,window_height,age,gender,race,ethnicity,vision,comments
07iuiut1t9rh,13424,06/03/2022@00:34:56,null,1440,900,1440,1055,19,male,white,not_hispanic,normal,No preference
12ca06vw3bvp,13608,01/03/2022@11:57:54,null,1707,960,1690,1056,20,female,white,not_hispanic,normal,
1ctomglu2e7i,13418,28/02/2022@13:02:31,null,1440,900,1425,1054,19,female,white,not_hispanic,corrected,I preferred the risky deck when the numbers were green.
3ksfe1jmtbf,13413,01/03/2022@12:32:01,null,1440,900,1440,1054,18,female,white,not_hispanic,corrected,"Towards the middle of the experiment I decided to choose D for all deck selections.
"
6nrc8qy9jlt,13605,06/03/2022@23:20:00,null,1440,900,710,1036,21,female,asian,not_hispanic,normal,
7ki6bccgm19,13518,05/03/2022@19:13:18,null,1440,900,1440,1054,19,female,no_response,hispanic,corrected,"I found that I was willing to take more chances when it came to picking between the two red decks, but towards the end found myself gravitating towards the safe, one-option outcome more frequently."
9hrqgo8asdj,13568,24/02/2022@17:58:16,null,1920,1080,1903,1039,21,male,no_response,hispanic,normal,"I tried to go after the blocks that gave me the least number of objects. Taking the risk between 0 or less was better as the gamble for only seeing 4 was easier than seeing 14-16. For the reds, I was more indifferent as I still would have had to scan the entire screen to look for the red/green block. "
9ntmzvojff,13497,01/03/2022@17:11:13,null,1440,900,1440,1055,18,female,white,not_hispanic,corrected,"No I clicked randomly because it was ridiculously long and boring, I hate you"
dfo17tvc6p9,13609,22/02/2022@00:03:26,null,1536,864,1519,1061,18,male,other,hispanic,normal,"No, it was not difficult I ended up finding a pattern after the second block. Since then my only mistakes were based on me pressing it too fast before analyzing the color blocks. "
edcj29mylwb,13556,07/03/2022@13:03:58,null,1440,900,1440,1054,19,male,white,not_hispanic,corrected,"Chose the safe deck. I would rather have consistency, rather than risking having more than anticipated."
eyjftu9u3lh,13613,28/02/2022@12:53:50,null,1440,900,1366,1052,18,female,white,not_hispanic,corrected,I preferred the decrease because it was easier to spot the object
fpy3pvbp8n9,13436,05/03/2022@10:59:14,null,1728,1117,1713,1054,18,female,"white,asian",not_hispanic,corrected,"At first, I went with the safer deck, but when I tried the risky deck, I found that it was actually not as hard as I thought it would be. I think I liked when the outcomes were decreases in objects, but the increases in objects option wasn't too much harder."
fqkms3ztez4,13465,01/03/2022@12:58:50,null,1536,864,1519,1061,19,female,white,not_hispanic,normal,I preferred the risky deck because the benefit was worth the risk. 
g6y9j226fk7,13377,02/03/2022@17:42:47,null,1512,982,1512,1055,18,male,white,hispanic,corrected,I chose the riskier reward when it gave a bigger payout such as when it was -28. I stayed relatively safe when I would only gain -7.
h5olqs9x60h,13415,05/03/2022@20:00:18,null,1440,900,1378,1054,19,female,white,not_hispanic,na,"I honestly didn't prefer either, I just went with whatever was easier for my finger to click."
h6onzaw09hv,13327,01/03/2022@12:22:33,null,1440,900,1425,1054,19,female,white,not_hispanic,impaired,
ig8hhvobkwn,13330,28/02/2022@11:23:07,null,1440,900,1440,1055,21,female,white,hispanic,normal,I would chose the safer option when adding even more. when it was decreasing I would not mind choosing the riskier option 
