subject,sona_id,curTime,totalTime_mins,screen_width,screen_height,window_width,window_height,age,gender,race,ethnicity,vision,comments
kl6b9clh8vf,13579,28/02/2022@11:33:41,null,1792,1120,1091,1052,19,female,white,not_hispanic,corrected,"I felt like choosing the safe deck for majority of them, some of them (usually the decreasing ones) I just went for the risky one not really for a particular reason. I felt more comfortable going with the safe ones because it made the experiment feel faster, because I didn't really have to think about __ or ___ just __. "
h6onzaw09hv,13327,01/03/2022@12:22:33,null,1440,900,1425,1054,19,female,white,not_hispanic,impaired,
9hrqgo8asdj,13568,24/02/2022@17:58:16,null,1920,1080,1903,1039,21,male,no_response,hispanic,normal,"I tried to go after the blocks that gave me the least number of objects. Taking the risk between 0 or less was better as the gamble for only seeing 4 was easier than seeing 14-16. For the reds, I was more indifferent as I still would have had to scan the entire screen to look for the red/green block. "
l6lj6g998mn,13381,28/02/2022@10:12:46,null,1440,900,1304,1054,20,female,asian,not_hispanic,normal,"I preferred the safe deck, only one outcome most of the time. When all outcomes were increase in objects; I had a tendency to still on the safer side. It was a really visual thing for me and mental."
d1v07bou52c,13352,25/03/2022@10:38:13,null,1368,912,1351,1098,19,female,black,not_hispanic,corrected,
7gd52zmp31o,13602,22/03/2022@19:24:54,null,1440,900,1302,1097,21,male,white,not_hispanic,corrected,
ujyz2qdi7ti,13533,08/03/2022@22:48:33,null,1920,1080,1902,1049,18,non-binary,white,not_hispanic,corrected,"I preferred when the variance was in the negative direction since it made it easier to find the desired object in a timely manner, but felt equally comfortable with variance in both directions due to confidence in finding the object in a similar time regardless of sample size. "
fqkms3ztez4,13465,01/03/2022@12:58:50,null,1536,864,1519,1061,19,female,white,not_hispanic,normal,I preferred the risky deck because the benefit was worth the risk. 
teftrifotjr,13509,07/03/2022@09:22:32,null,1440,900,1440,1054,19,male,no_response,hispanic,corrected,"I almost always chose the risky deck. the best strategy was to choose the risky deck whenever it was green numbers since you'd still be getting less objects, but choosing the risky deck can take away even more. if it doesn't then you'd just get the safe deck amount taken off"
6nrc8qy9jlt,13605,06/03/2022@23:20:00,null,1440,900,710,1036,21,female,asian,not_hispanic,normal,
y4cddeq0yyb,13314,06/03/2022@12:36:05,null,820,1180,1180,1080,18,female,no_response,hispanic,corrected,I just clicked on D it was green and f if it was red. 
edcj29mylwb,13556,07/03/2022@13:03:58,null,1440,900,1440,1054,19,male,white,not_hispanic,corrected,"Chose the safe deck. I would rather have consistency, rather than risking having more than anticipated."
1ctomglu2e7i,13418,28/02/2022@13:02:31,null,1440,900,1425,1054,19,female,white,not_hispanic,corrected,I preferred the risky deck when the numbers were green.
12ca06vw3bvp,13608,01/03/2022@11:57:54,null,1707,960,1690,1056,20,female,white,not_hispanic,normal,
jpor3imudlm,13402,22/03/2022@14:52:49,null,1440,900,1295,1097,18,female,white,not_hispanic,normal,I always picked the risky deck wether or not there were red or green numbers. I didn't mind the 0 or the added risk I found it was the same either way in terms of the difficulty of finding the object
8vbegagvc0h,13832,21/03/2022@15:38:26,null,1440,900,1440,1096,20,male,other,hispanic,normal,
g6y9j226fk7,13377,02/03/2022@17:42:47,null,1512,982,1512,1055,18,male,white,hispanic,corrected,I chose the riskier reward when it gave a bigger payout such as when it was -28. I stayed relatively safe when I would only gain -7.
v3usz3xybf8,13511,02/03/2022@16:14:58,null,1536,864,1536,1061,19,female,white,not_hispanic,normal,I felt the safest picking the high numbers when they had minus signs. I usually chose the safer option when it came to adding. 
9ntmzvojff,13497,01/03/2022@17:11:13,null,1440,900,1440,1055,18,female,white,not_hispanic,corrected,"No I clicked randomly because it was ridiculously long and boring, I hate you"
7ki6bccgm19,13518,05/03/2022@19:13:18,null,1440,900,1440,1054,19,female,no_response,hispanic,corrected,"I found that I was willing to take more chances when it came to picking between the two red decks, but towards the end found myself gravitating towards the safe, one-option outcome more frequently."
eyjftu9u3lh,13613,28/02/2022@12:53:50,null,1440,900,1366,1052,18,female,white,not_hispanic,corrected,I preferred the decrease because it was easier to spot the object
utap6rlri6p,13521,06/03/2022@11:40:40,null,1440,900,1440,1055,19,female,white,not_hispanic,corrected,"I usually picked the risky tech when the numbers were minus, but I picked the safe deck when the number was plus. "
gygepb645kv,13404,21/03/2022@12:29:05,null,1440,900,1245,1097,20,female,white,not_hispanic,normal,"I preferred the riskier version when all the options were equal to or below zero, otherwise I was more comfortable with the safe option"
h5olqs9x60h,13415,05/03/2022@20:00:18,null,1440,900,1378,1054,19,female,white,not_hispanic,na,"I honestly didn't prefer either, I just went with whatever was easier for my finger to click."
yxgqd3862w,13514,01/03/2022@14:17:55,null,1440,900,1440,1054,22,male,asian,not_hispanic,corrected,"I'd take risk on ones that were in green, but no as much for those in red"
temuhwmaoc,12450,11/03/2022@11:58:11,null,1440,900,1279,1054,21,female,white,not_hispanic,corrected,Random decisions
p1t0anqikn,13410,07/03/2022@23:24:46,null,2560,1440,2560,1321,20,male,no_response,hispanic,corrected,I just selected the left one because I wanted to complete it as fast as possible. 
ig8hhvobkwn,13330,28/02/2022@11:23:07,null,1440,900,1440,1055,21,female,white,hispanic,normal,I would chose the safer option when adding even more. when it was decreasing I would not mind choosing the riskier option 
3ksfe1jmtbf,13413,01/03/2022@12:32:01,null,1440,900,1440,1054,18,female,white,not_hispanic,corrected,"Towards the middle of the experiment I decided to choose D for all deck selections.
"
uv856jwa8zd,13320,28/02/2022@22:53:19,null,1280,800,1221,1054,18,male,other,hispanic,normal,
rcqmhpgwpk,13522,22/02/2022@11:42:13,null,1280,720,1263,1053,20,no_answer,no_response,no_response,no_response,"I think it all depended for me what the number was.  If it were in a deck of + 14 or +7 vice versa I preferred to choose the option with + or - 14.  There would not have been added that many blocks.  However, if it were +14 or +28 vice versa I chose usually the block with + or - 14.  A lot more blocks are added with +28 making it harder to find the correct block."
