subject,sona_id,curTime,totalTime_mins,screen_width,screen_height,window_width,window_height,age,gender,race,ethnicity,vision,comments,cog_effort_q1,cog_effort_q2,cog_effort_q3,cog_effort_q4,cog_effort_q5,cog_effort_q6,cog_effort_q7,cog_effort_q8,cog_effort_q9,cog_effort_q10,cog_effort_q11,cog_effort_q12,cog_effort_q13,cog_effort_q14,cog_effort_q15,cog_effort_q16,cog_effort_q17,cog_effort_q18
n4k8vebocy8,13560,10/04/2022@20:35:41,null,1440,900,1440,1207,19,female,asian,not_hispanic,normal,I tried to evaluate which option held the most gains and least losses.,strongly_disagree,somewhat_agree,neutral,neutral,neutral,somewhat_disagree,somewhat_disagree,somewhat_agree,somewhat_agree,neutral,somewhat_disagree,somewhat_agree,neutral,somewhat_agree,neutral,neutral,somewhat_disagree,somewhat_agree
oxwnz6vt4zp,13466,26/03/2022@16:18:11,null,1440,900,1440,1209,19,female,asian,not_hispanic,normal,,neutral,somewhat_agree,somewhat_disagree,somewhat_disagree,somewhat_disagree,,neutral,somewhat_agree,somewhat_agree,neutral,somewhat_agree,somewhat_disagree,neutral,neutral,somewhat_disagree,somewhat_disagree,somewhat_disagree,neutral
ullqqdfi5ga,13452,10/04/2022@15:52:06,null,1440,900,1440,1209,19,male,white,not_hispanic,normal,I found that I would choose the safe deck when adding objects and the riskier deck when subtracting objects.,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_agree,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_disagree,somewhat_agree
icafi56jfy,13361,04/04/2022@16:58:47,null,1440,900,1440,1209,18,male,white,not_hispanic,normal,,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,somewhat_disagree,somewhat_agree,somewhat_disagree,strongly_agree,neutral,somewhat_agree,somewhat_agree,strongly_disagree,neutral,somewhat_agree,somewhat_agree,strongly_agree,somewhat_disagree,somewhat_agree
31x3fjjm9xt,13534,11/04/2022@22:15:50,null,1440,900,1440,1214,20,male,white,not_hispanic,corrected,When it was between +14 of +28/0 I liked the option of getting a chance of zero. This was the same for the minus options I was always on the risky side.,neutral,somewhat_agree,neutral,somewhat_disagree,somewhat_disagree,somewhat_disagree,neutral,somewhat_disagree,neutral,somewhat_agree,somewhat_disagree,somewhat_disagree,somewhat_disagree,neutral,somewhat_agree,strongly_agree,neutral,somewhat_agree
nqlwzu9zbi8,13414,28/03/2022@17:46:45,null,1440,900,1425,1209,20,female,white,hispanic,normal,I knew that I could manage 32 objects on the screen so I usually chose the options that were guaranteed lower than or slightly above 32.,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_disagree,neutral,strongly_agree,neutral,somewhat_agree,somewhat_disagree,somewhat_disagree,strongly_agree,strongly_disagree,somewhat_agree,somewhat_disagree,somewhat_agree,neutral,somewhat_agree,neutral
d9zdosuoli,13391,03/04/2022@18:52:55,null,1504,1003,1487,1207,,male,white,na,normal,"when they were both red I usually chose the non-risky option, but when they were all green I usually chose the risky option",somewhat_agree,neutral,somewhat_disagree,somewhat_disagree,somewhat_disagree,neutral,somewhat_agree,somewhat_agree,neutral,somewhat_agree,somewhat_agree,strongly_disagree,somewhat_agree,somewhat_agree,somewhat_agree,neutral,somewhat_disagree,neutral
irma0xk1ph,13535,04/04/2022@12:44:58,null,1440,900,1440,1214,18,female,white,not_hispanic,normal,,strongly_agree,neutral,somewhat_agree,somewhat_agree,somewhat_agree,neutral,neutral,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree
qfzuntxy8l,13369,11/04/2022@07:56:18,null,1536,864,1519,1215,19,male,asian,not_hispanic,corrected,,somewhat_agree,somewhat_disagree,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
i1g33cu2zi,13341,28/03/2022@16:31:38,null,1440,900,1427,1207,18,male,white,not_hispanic,normal,,neutral,somewhat_disagree,somewhat_agree,neutral,somewhat_agree,strongly_disagree,somewhat_agree,strongly_agree,somewhat_agree,neutral,somewhat_agree,somewhat_agree,neutral,somewhat_agree,neutral,somewhat_agree,strongly_disagree,neutral
