subject,sona_id,curTime,totalTime_mins,screen_width,screen_height,window_width,window_height,age,gender,race,ethnicity,vision,comments,cog_effort_q1,cog_effort_q2,cog_effort_q3,cog_effort_q4,cog_effort_q5,cog_effort_q6,cog_effort_q7,cog_effort_q8,cog_effort_q9,cog_effort_q10,cog_effort_q11,cog_effort_q12,cog_effort_q13,cog_effort_q14,cog_effort_q15,cog_effort_q16,cog_effort_q17,cog_effort_q18
ir4i03q2mdf,13507,10/04/2022@22:40:52,null,1440,900,1440,1207,19,male,white,not_hispanic,impaired,,somewhat_agree,somewhat_agree,strongly_disagree,somewhat_agree,somewhat_agree,somewhat_agree,neutral,neutral,somewhat_disagree,neutral,neutral,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_agree,neutral,neutral,neutral
wh0fuz1bwyd,13840,12/04/2022@12:57:47,null,1440,900,1416,1209,19,male,white,not_hispanic,normal,,neutral,neutral,neutral,neutral,somewhat_disagree,somewhat_agree,neutral,somewhat_disagree,somewhat_disagree,somewhat_agree,strongly_agree,somewhat_agree,neutral,neutral,somewhat_agree,neutral,somewhat_disagree,neutral
7e87s1wewx6,13347,05/04/2022@15:34:14,null,1440,900,1440,1209,19,male,black,not_hispanic,corrected,,somewhat_agree,somewhat_agree,somewhat_disagree,strongly_disagree,somewhat_disagree,strongly_agree,somewhat_agree,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,strongly_agree,somewhat_agree,neutral,somewhat_disagree,strongly_disagree
c6dqshgtjpj,13387,04/04/2022@21:02:31,null,1440,900,1440,1209,19,female,white,hispanic,normal,the safe deck,strongly_agree,strongly_agree,strongly_agree,neutral,neutral,neutral,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,neutral,neutral,somewhat_disagree,somewhat_agree,somewhat_disagree,somewhat_disagree,neutral,neutral
ltyrxatoxa,13353,04/04/2022@14:45:22,null,1440,900,1440,1209,18,female,white,not_hispanic,normal,When all outcomes were decreases in objects I was more willing to take the risky deck than I was when all outcomes were increases. What drove my decision was wanting to choose the quickest option.,somewhat_agree,somewhat_disagree,somewhat_disagree,neutral,strongly_disagree,somewhat_disagree,somewhat_disagree,strongly_agree,somewhat_agree,somewhat_agree,neutral,somewhat_disagree,somewhat_agree,neutral,neutral,somewhat_disagree,somewhat_disagree,somewhat_agree
vxrk3vm3yd,13564,11/04/2022@20:15:28,null,1440,900,1345,1209,18,female,"white,no_response",no_response,no_response,N/A,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_disagree,somewhat_disagree,neutral,neutral,neutral,neutral,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_agree,somewhat_agree,neutral,strongly_agree,somewhat_disagree,neutral
41hlkswvaii,13831,04/04/2022@17:49:22,null,1440,900,1440,1209,19,female,white,na,impaired,,strongly_agree,somewhat_agree,somewhat_disagree,somewhat_agree,strongly_agree,somewhat_disagree,somewhat_agree,strongly_disagree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,neutral,strongly_agree,strongly_agree,somewhat_agree,strongly_agree,strongly_agree
qsddcwr9ino,13530,05/04/2022@03:46:20,null,1280,720,1263,1207,19,female,black,not_hispanic,normal,No I had no preference based on increases or decreases in objects,strongly_disagree,strongly_disagree,neutral,somewhat_agree,somewhat_disagree,somewhat_agree,neutral,somewhat_agree,somewhat_agree,neutral,neutral,somewhat_disagree,somewhat_disagree,neutral,somewhat_disagree,somewhat_agree,strongly_agree,somewhat_agree
vb0h35mhka,13490,05/04/2022@18:23:24,null,1440,900,1440,1214,18,male,white,not_hispanic,corrected,,strongly_disagree,neutral,somewhat_agree,strongly_disagree,somewhat_disagree,somewhat_agree,somewhat_disagree,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_agree,neutral,somewhat_agree,somewhat_disagree,neutral,somewhat_agree,somewhat_disagree,somewhat_agree
rn8uvq4ot5,13317,10/04/2022@14:38:17,null,1440,900,1440,1209,19,female,white,not_hispanic,corrected,  ,somewhat_agree,neutral,somewhat_agree,neutral,neutral,neutral,neutral,neutral,,somewhat_agree,neutral,neutral,neutral,somewhat_agree,somewhat_agree,somewhat_agree,neutral,neutral
4w6h5l5d46g,13503,04/04/2022@23:13:03,null,1440,900,1440,1209,19,male,white,not_hispanic,impaired,"Sometimes I wanted a more challenging one when I was bored with the repetitive nature of the easy ones. However, I mostly chose the easy ones because I did not have to think as much.",strongly_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,strongly_disagree,somewhat_agree,strongly_agree,strongly_agree,somewhat_disagree,somewhat_disagree,neutral,somewhat_agree,somewhat_disagree,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_disagree
z4fd95sncmh,13561,03/04/2022@21:20:12,null,1280,720,1263,1207,18,male,black,hispanic,corrected,I preferred the the outcomes with decreased options as the problems that came with them would overall be easier.,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_agree,strongly_agree,strongly_agree,somewhat_agree,somewhat_agree,neutral,somewhat_disagree,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_disagree,strongly_agree,strongly_agree
vhxtg6u2wr,13502,04/04/2022@15:38:24,null,1440,900,1440,1209,19,female,white,not_hispanic,normal,decreases in objects,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_disagree,strongly_disagree,somewhat_agree,somewhat_disagree,strongly_disagree,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_agree,strongly_agree,strongly_agree,somewhat_disagree,somewhat_disagree,somewhat_agree
w01hwtwqdop,13537,08/04/2022@17:34:20,null,1440,900,1368,1209,18,male,white,not_hispanic,normal,"In line with psychological principles like risk aversion, I typically preferred to take the safe option when both outcomes saw a decrease in objects, while usually taking the risky one when both outcomes saw an increase in objects. This is because when I was posed with a positive situation such as taking objects away from the screen, I wanted a positive outcome, no matter the extent. On the other hand, when I was posed with a negative situation, I wanted to try and avoid a negative outcome altogether, even if the risk of eliminating such an outcome could lead to an even more negative outcome.",somewhat_disagree,somewhat_agree,somewhat_disagree,somewhat_disagree,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_agree,strongly_agree,somewhat_agree,somewhat_disagree,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_disagree,strongly_agree
