Gamble,Gamble A,Gamble B
1,"24, .34; 59, .66","47, .42; 64, .58"
2,"79, .88; 82, .12","57, .2; 94, .80"
3,"62, .74; 0, .26","23, .44; 31, .56"
4,"56, .05; 72, .95","68, .95; 95, .05"
5,"84, .25; 43, .75","7, .43; 97, .57"
6,"7, .28; 74, .72","55, .71; 63, .29"
7,"56, .09; 19, .91","13, .76; 90, .24"
8,"41, .63; 18, .37","56, .98; 8, .02"
9,"72, .88; 29, .12","67, .39; 63, .61"
10,"37, .61; 50, .39","6, .6; 45, .40"
11,"54, .08; 31, .92","44, .15; 29, .85"
12,"63, .92; 5, .08","43, .63; 53, .37"
13,"32, .78; 99, .22","39, .32; 56, .68"
14,"66, .16; 23, .84","15, .79; 29, .21"
15,"52, .12; 73, .88","92, .98; 19, .02"
16,"88, .29; 78, .71","53, .29; 91, .71"
17,"39, .31; 51, .69","16, .84; 91, .16"
18,"70, .17; 65, .83","100, .35; 50, .65"
19,"80, .91; 19, .09","37, .64; 65, .36"
20,"83, .09; 67, .91","77, .48; 6, .52"
21,"14, .44; 72, .56","9, .21; 31, .79"
22,"41, .68; 65, .32","100, .85; 2, .15"
23,"40, .38; 55, .62","26, .14; 96, .86"
24,"1, .62; 83, .38","37, .41; 24, .59"
25,"15, .49; 50, .51","64, .94; 14, .06"
26,"15, .16; 67, .84","-56, .72; 83, .28"
27,"19, .13; 56, .87","-32, .7; 37, .3"
28,"67, .29; 28, .71","46, .05; 44, .95"
29,"40, .82; 90, .18","46, .17; 64, .83"
30,"25, .29; 86, .71","38, .76; 99, .24"
31,"46, .6; 21, .4","99, .42; 37, .58"
32,"15, .48; 91, .52","48, .28; 74, .72"
33,"93, .53; 26, .47","52, .8; 93, .2"
34,"1, .49; 54, .51","33, .77; 30, .23"
35,"24, .99; 13, .01","15, .44; 62, .56"
36,"67, .79; 37, .21","0, .46; 97, .54"
37,"58, .56; 80, .44","58, .86; 97, .14"
38,"96, .63; 38, .37","12, .17; 69, .83"
39,"55, .59; 77, .41","30, .47; 61, .53"
40,"29, .13; 76, .87","100, .55; 28, .45"
41,"57, .84; 90, .16","63, .25; 30, .75"
42,"29, .86; 30, .14","17, .26; 43, .74"
43,"8, .66; 95, .34","42, .93; 30, .07"
44,"35, .39; 72, .61","57, .76; 28, .24"
45,"26, .51; 76, .49","48, .77; 34, .23"
46,"73, .73; 54, .27","42, .17; 70, .83"
47,"66, .49; 92, .51","97, .78; 34, .22"
48,"9, .56; 56, .44","15, .64; 80, .36"
49,"61, .96; 56, .04","7, .34; 63, .66"
50,"4, .56; 80, .44","46, .04; 58, .96"
51,"91, .43; 63, .57","83, .27; 24, .73"
52,"82, .06; 54, .94","38, .91; 73, .09"
53,"70, .79; 98, .21","85, .65; 93, .35"
54,"8, .37; 52, .63","23, .87; 39, .13"
55,"96, .61; 67, .39","71, .5; 26, .5"
56,"47, .43; 63, .57","69, .02; 14, .98"
57,"70, .39; 19, .61","8, .3; 37, .7"
58,"100, .59; 81, .41","73, .47; 15, .53"
59,"73, .92; 96, .08","16, .11; 48, .89"
60,"31, .89; 27, .11","26, .36; 48, .64"
61,"39, .86; 83, .14","8, .8; 88, .2"
62,"77, .74; 23, .26","75, .67; 7, .33"
63,"33, .91; 28, .09","9, .27; 67, .73"
64,"75, .93; 90, .07","96, .87; 89, .13"
65,"67, .99; 3, .01","74, .68; 2, .32"
66,"58, .48; 5, .52","40, .4; 96, .6"
67,"55, .07; 95, .93","13, .48; 99, .52"
68,"51, .97; 30, .03","89, .68; 46, .32"
69,"26, .86; 82, .14","39, .6; 31, .4"
70,"90, .88; 88, .12","86, .8; 14, .2"
71,"78, .87; 45, .13","69, .88; 83, .12"
72,"17, .96; 48, .04","60, .49; 84, .51"
73,"49, .38; 2, .62","19, .22; 18, .78"
74,"59, .28; 96, .72","4, .04; 63, .96"
75,"98, .5; 24, .5","76, .14; 46, .86"
76,"20, .5; 60, .5","0, .5; 0, .5"
77,"30, .5; 60, .5","0, .5; 0, .5"
78,"40, .5; 60, .5","0, .5; 0, .5"
79,"50, .5; 60, .5","0, .5; 0, .5"
80,"60, .5; 60, .5","0, .5; 0, .5"
81,"70, .5; 60, .5","0, .5; 0, .5"
82,"40, .1; 32, .9","77, .1; 2, .9"
83,"40, .2; 32, .8","77, .2; 2, .8"
84,"40, .3; 32, .7","77, .3; 2, .7"
85,"40, .4; 32, .6","77, .4; 2, .6"
86,"40, .5; 32, .5","77, .5; 2, .5"
87,"40, .6; 32, .4","77, .6; 2, .4"
88,"40, .7; 32, .3","77, .7; 2, .3"
89,"40, .8; 32, .2","77, .8; 2, .2"
90,"40, .9; 32, .1","77, .9; 2, .1"
91,"40, 1.0; 32, 0","77, 1.0; 2, 0"
