index,gamblea_outcome1,gamblea_probability1,gamblea_outcome2,gamblea_probability2,gambleb_outcome1,gambleb_probability1,gambleb_outcome2,gambleb_probability2
1,24,0.34,59,0.66,47,0.42,64,0.58
2,79,0.88,82,0.12,57,0.2,94,0.8
3,62,0.74,0,0.26,23,0.44,31,0.56
4,56,0.05,72,0.95,68,0.95,95,0.05
5,84,0.25,43,0.75,7,0.43,97,0.57
6,7,0.28,74,0.72,55,0.71,63,0.29
7,56,0.09,19,0.91,13,0.76,90,0.24
8,41,0.63,18,0.37,56,0.98,8,0.02
9,72,0.88,29,0.12,67,0.39,63,0.61
10,37,0.61,50,0.39,6,0.6,45,0.4
11,54,0.08,31,0.92,44,0.15,29,0.85
12,63,0.92,5,0.08,43,0.63,53,0.37
13,32,0.78,99,0.22,39,0.32,56,0.68
14,66,0.16,23,0.84,15,0.79,29,0.21
15,52,0.12,73,0.88,92,0.98,19,0.02
16,88,0.29,78,0.71,53,0.29,91,0.71
17,39,0.31,51,0.69,16,0.84,91,0.16
18,70,0.17,65,0.83,100,0.35,50,0.65
19,80,0.91,19,0.09,37,0.64,65,0.36
20,83,0.09,67,0.91,77,0.48,6,0.52
21,14,0.44,72,0.56,9,0.21,31,0.79
22,41,0.68,65,0.32,100,0.85,2,0.15
23,40,0.38,55,0.62,26,0.14,96,0.86
24,1,0.62,83,0.38,37,0.41,24,0.59
25,15,0.49,50,0.51,64,0.94,14,0.06
26,-15,0.16,-67,0.84,56,0.72,-83,0.28
27,-19,0.13,-56,0.87,32,0.7,-37,0.3
28,-67,0.29,-28,0.71,-46,0.05,-44,0.95
29,-40,0.82,-90,0.18,-46,0.17,-64,0.83
30,-25,0.29,-86,0.71,-38,0.76,-99,0.24
31,-46,0.6,-21,0.4,-99,0.42,-37,0.58
32,-15,0.48,-91,0.52,-48,0.28,-74,0.72
33,-93,0.53,-26,0.47,-52,0.8,-93,0.2
34,-1,0.49,-54,0.51,-33,0.77,-30,0.23
35,-24,0.99,-13,0.01,-15,0.44,-62,0.56
36,-67,0.79,-37,0.21,0,0.46,-97,0.54
37,-58,0.56,-80,0.44,-58,0.86,-97,0.14
38,-96,0.63,-38,0.37,-12,0.17,-69,0.83
39,-55,0.59,-77,0.41,-30,0.47,-61,0.53
40,-29,0.13,-76,0.87,-100,0.55,-28,0.45
41,-57,0.84,-90,0.16,-63,0.25,-30,0.75
42,-29,0.86,-30,0.14,-17,0.26,-43,0.74
43,-8,0.66,-95,0.34,-42,0.93,-30,0.07
44,-35,0.39,-72,0.61,-57,0.76,-28,0.24
45,-26,0.51,-76,0.49,-48,0.77,-34,0.23
46,-73,0.73,-54,0.27,-42,0.17,-70,0.83
47,-66,0.49,-92,0.51,-97,0.78,-34,0.22
48,-9,0.56,-56,0.44,-15,0.64,-80,0.36
49,-61,0.96,-56,0.04,-7,0.34,-63,0.66
50,-4,0.56,-80,0.44,-46,0.04,-58,0.96
51,-91,0.43,63,0.57,-83,0.27,24,0.73
52,-82,0.06,54,0.94,38,0.91,-73,0.09
53,-70,0.79,98,0.21,-85,0.65,93,0.35
54,-8,0.37,52,0.63,23,0.87,-39,0.13
55,96,0.61,-67,0.39,71,0.5,-26,0.5
56,-47,0.43,63,0.57,-69,0.02,14,0.98
57,-70,0.39,19,0.61,8,0.3,-37,0.7
58,-100,0.59,81,0.41,-73,0.47,15,0.53
59,-73,0.92,96,0.08,16,0.11,-48,0.89
60,-31,0.89,27,0.11,26,0.36,-48,0.64
61,-39,0.86,83,0.14,8,0.8,-88,0.2
62,77,0.74,-23,0.26,75,0.67,-7,0.33
63,-33,0.91,28,0.09,9,0.27,-67,0.73
64,75,0.93,-90,0.07,96,0.87,-89,0.13
65,67,0.99,-3,0.01,74,0.68,-2,0.32
66,58,0.48,-5,0.52,-40,0.4,96,0.6
67,-55,0.07,95,0.93,-13,0.48,99,0.52
68,-51,0.97,30,0.03,-89,0.68,46,0.32
69,-26,0.86,82,0.14,-39,0.6,31,0.4
70,-90,0.88,88,0.12,-86,0.8,14,0.2
71,-78,0.87,45,0.13,-69,0.88,83,0.12
72,17,0.96,-48,0.04,-60,0.49,84,0.51
73,-49,0.38,2,0.62,19,0.22,-18,0.78
74,-59,0.28,96,0.72,-4,0.04,63,0.96
75,98,0.5,-24,0.5,-76,0.14,46,0.86
76,-20,0.5,60,0.5,0,0.5,0,0.5
77,-30,0.5,60,0.5,0,0.5,0,0.5
78,-40,0.5,60,0.5,0,0.5,0,0.5
79,-50,0.5,60,0.5,0,0.5,0,0.5
80,-60,0.5,60,0.5,0,0.5,0,0.5
81,-70,0.5,60,0.5,0,0.5,0,0.5
82,40,0.1,32,0.9,77,0.1,2,0.9
83,40,0.2,32,0.8,77,0.2,2,0.8
84,40,0.3,32,0.7,77,0.3,2,0.7
85,40,0.4,32,0.6,77,0.4,2,0.6
86,40,0.5,32,0.5,77,0.5,2,0.5
87,40,0.6,32,0.4,77,0.6,2,0.4
88,40,0.7,32,0.3,77,0.7,2,0.3
89,40,0.8,32,0.2,77,0.8,2,0.2
90,40,0.9,32,0.1,77,0.9,2,0.1
91,40,1.0,32,0.0,77,1.0,2,0.0
